repetition,cviter,trial,growth.factors,num.extra.layers,units1,units2,batch.normalization,dropouts1,dropouts2,dropouts3,mse.test.mean,time.in.mins
2,3,7,19|2|16|13|18|3|6|9|18|12|18|10|17|18|2|15|7|18|19,2,77,60,FALSE,0.366693904155937,0.152855937453345,0.132743834432823,166.687319404635,87.0581088503202
2,3,8,20|11|20|5|18|7|13|7|8|13|4|6|15|18|8|11|13|11|13,0,78,70,TRUE,0.196081995494814,0.172944627976619,0.364994112066337,167.975930267975,87.0581088503202
2,3,9,13|5|11|12|4|5|3|14|16|2|12|15|8|4|6|9|3|7|12,0,19,22,TRUE,0.338010780654002,0.252049206863745,0.376082735954698,168.075749423755,87.0581088503202
2,3,10,20|16|20|13|17|4|7|14|7|10|9|17|19|9|11|11|18|7|12,0,63,74,TRUE,0.276169041982618,0.290674487235882,0.368459182773519,168.431741272759,87.0581088503202
10,3,1,19|2|16|13|18|3|6|9|18|12|18|10|17|18|2|15|7|18|19,2,77,60,FALSE,0.366693904155937,0.152855937453345,0.132743834432823,163.427114419854,89.6054238677025
10,3,2,18|2|18|8|3|15|14|4|20|17|8|12|18|8|14|11|20|19|4,2,57,71,FALSE,0.189723976629858,0.197344941236616,0.362979000416369,168.749716278743,89.6054238677025
10,3,3,19|2|18|11|3|11|6|19|20|16|8|10|20|12|16|13|14|17|11,2,45,76,FALSE,0.214167905637039,0.214852429130704,0.363312143682031,175.672157293714,89.6054238677025
10,3,4,14|4|2|20|8|5|9|14|17|2|13|4|3|20|13|15|3|8|2,0,19,23,TRUE,0.439526298817677,0.162404173360958,0.470380096110659,177.378759167519,89.6054238677025
10,3,5,14|7|10|20|17|15|2|7|8|5|4|7|7|2|3|2|3|19|17,2,69,58,FALSE,0.137027950282209,0.335730820455445,0.493432866756876,178.174144276772,89.6054238677025
10,3,6,16|20|5|5|4|3|8|2|3|2|7|13|14|7|5|2|9|17|15,0,37,55,TRUE,0.260965773835778,0.482448246587928,0.335185022975426,178.298020298362,89.6054238677025
10,3,7,12|19|18|19|5|7|15|20|19|15|8|11|5|8|16|13|17|12|14,2,52,78,FALSE,0.198373082967009,0.251498305862949,0.407450197722154,178.44221528699,89.6054238677025
10,3,8,17|18|10|12|4|15|5|17|14|5|14|18|20|4|14|20|19|17|20,2,29,79,FALSE,0.425208858545655,0.47210642750769,0.122113302931225,178.551356448933,89.6054238677025
10,3,9,20|20|10|8|10|5|12|9|5|2|19|12|8|4|12|4|5|15|3,2,76,73,FALSE,0.17166756906081,0.289084785208643,0.350017005128141,178.786355490302,89.6054238677025
10,3,10,20|17|10|7|16|7|13|18|10|10|5|8|3|9|9|5|9|12|18,0,56,73,TRUE,0.342629289105893,0.277503207555184,0.302744934875339,180.782313695225,89.6054238677025
19,3,1,19|2|4|10|12|17|8|6|13|7|16|3|15|17|7|17|18|6|18,2,78,20,FALSE,0.191339194309568,0.121208588474907,0.188918443446314,175.842874994477,75.9530384341876
19,3,2,19|14|8|6|18|4|13|10|13|7|7|17|2|2|18|2|7|9|19,2,77,50,FALSE,0.231982259774633,0.154417392982396,0.490954948855037,178.223570548553,75.9530384341876
